Region,Happiness Score,GDP Per Capita,Life Expectancy,Freedom,Gov Trust,Generosity
Middle East and Northern Africa,3,4,4,1,4,1
Central and Eastern Europe,3,2,3,3,1,4
Sub-Saharan Africa,3,2,1,2,1,4
Southern Asia,3,3,2,4,4,5
Central and Eastern Europe,3,4,3,2,4,1
Southern Asia,3,2,2,1,3,5
Middle East and Northern Africa,3,3,3,3,4,1
Central and Eastern Europe,3,3,3,1,4,2
Eastern Asia,3,3,4,4,1,1
Sub-Saharan Africa,3,2,1,4,3,3
Central and Eastern Europe,3,4,4,2,1,2
Central and Eastern Europe,3,3,4,1,1,3
Western Europe,3,4,5,4,1,2
Central and Eastern Europe,3,4,3,1,2,2
Southeastern Asia,3,2,2,5,3,4
Sub-Saharan Africa,3,1,2,3,5,5
Middle East and Northern Africa,3,2,2,3,3,1
Central and Eastern Europe,3,3,4,2,2,3
Sub-Saharan Africa,3,1,1,2,4,3
Central and Eastern Europe,3,3,4,2,2,2
Central and Eastern Europe,2,3,4,1,1,4
Sub-Saharan Africa,2,1,1,2,3,2
Latin America and Caribbean,2,3,3,4,4,3
Southeastern Asia,2,2,2,5,5,5
Eastern Asia,2,3,2,3,1,5
Sub-Saharan Africa,2,2,1,2,1,2
Western Europe,2,4,5,1,1,1
Middle East and Northern Africa,2,4,4,2,1,3
Central and Eastern Europe,2,4,4,2,1,2
Latin America and Caribbean,2,2,3,2,2,3
Central and Eastern Europe,2,1,2,3,4,3
Middle East and Northern Africa,2,3,4,1,2,1
Middle East and Northern Africa,2,2,3,1,3,1
Southern Asia,2,1,2,3,3,3
Middle East and Northern Africa,2,3,3,1,2,5
Central and Eastern Europe,2,3,3,1,1,2
Middle East and Northern Africa,2,3,2,1,4,2
Sub-Saharan Africa,2,3,1,2,3,1
Sub-Saharan Africa,2,2,2,3,1,3
Sub-Saharan Africa,2,1,1,1,2,3
Sub-Saharan Africa,2,1,1,1,2,4
Southern Asia,2,2,2,2,3,4
Sub-Saharan Africa,2,2,1,1,4,3
Latin America and Caribbean,2,1,2,1,4,5
Sub-Saharan Africa,2,1,1,1,2,4
Southern Asia,2,1,2,2,2,4
Sub-Saharan Africa,2,1,2,3,4,4
Sub-Saharan Africa,2,1,1,3,3,3
Sub-Saharan Africa,2,2,1,1,4,3
Sub-Saharan Africa,2,1,2,3,2,5
Sub-Saharan Africa,2,2,1,3,5,2
Central and Eastern Europe,1,2,3,1,1,1
Sub-Saharan Africa,1,3,1,4,3,1
Southeastern Asia,1,1,2,3,4,5
Central and Eastern Europe,1,2,3,3,5,1
Sub-Saharan Africa,1,1,1,3,2,4
Southern Asia,1,3,3,4,3,5
Sub-Saharan Africa,1,1,1,4,2,3
Central and Eastern Europe,1,3,4,2,1,1
Middle East and Northern Africa,1,3,2,1,2,1
Middle East and Northern Africa,1,2,2,2,2,1
Sub-Saharan Africa,1,2,1,1,2,1
Sub-Saharan Africa,1,1,1,2,3,2
Sub-Saharan Africa,1,2,1,3,3,1
Sub-Saharan Africa,1,1,1,1,4,2
Sub-Saharan Africa,1,1,1,3,2,4
Sub-Saharan Africa,1,1,2,2,3,3
Sub-Saharan Africa,1,4,2,2,3,1
Sub-Saharan Africa,1,1,1,3,4,3
Southeastern Asia,1,2,2,5,2,5
Sub-Saharan Africa,1,1,1,2,2,5
Sub-Saharan Africa,1,1,2,1,2,3
Sub-Saharan Africa,1,1,1,4,2,3
Sub-Saharan Africa,1,1,1,1,1,2
Sub-Saharan Africa,1,1,1,2,3,4
Sub-Saharan Africa,1,2,1,3,4,3
Sub-Saharan Africa,1,1,1,2,3,3
Southern Asia,1,1,1,1,3,5
Sub-Saharan Africa,1,1,2,5,5,3
Sub-Saharan Africa,1,1,1,4,2,2
Middle East and Northern Africa,1,2,3,1,4,5
Sub-Saharan Africa,1,1,1,1,3,3
Sub-Saharan Africa,1,1,1,2,3,2
